checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,'\'(24.4-31.2]\'','critical/other existing credit','new car','\'(3884.8-5702.2]\'',<100,unemployed,'\'(3.7-inf)\'','male mar/wid',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',none,yes,bad
<0,'\'(17.6-24.4]\'','existing paid',radio/tv,'\'(-inf-2067.4]\'',<100,<1,'\'(3.7-inf)\'','male div/sep',none,'\'(2.8-3.1]\'','life insurance','\'(30.2-35.8]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,bad
<0,'\'(17.6-24.4]\'','existing paid','used car','\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(1.9-2.2]\'','male single',none,'\'(-inf-1.3]\'','no known property','\'(30.2-35.8]\'',none,'for free','\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
<0,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',>=1000,1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','critical/other existing credit','new car','\'(-inf-2067.4]\'',<100,1<=X<4,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(2.8-3.1]\'','real estate','\'(35.8-41.4]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
<0,'\'(-inf-10.8]\'','critical/other existing credit','new car','\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(-inf-1.3]\'','male single',none,'\'(3.7-inf)\'','real estate','\'(35.8-41.4]\'',none,own,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,no,good
'no checking','\'(10.8-17.6]\'','critical/other existing credit',furniture/equipment,'\'(5702.2-7519.6]\'','no known savings',>=7,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'','life insurance','\'(47-52.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
'no checking','\'(17.6-24.4]\'','existing paid','new car','\'(-inf-2067.4]\'',>=1000,4<=X<7,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(2.8-3.1]\'',car,'\'(30.2-35.8]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(1.9-inf)\'',yes,yes,good
>=200,'\'(31.2-38]\'','existing paid',radio/tv,'\'(3884.8-5702.2]\'',<100,>=7,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'',car,'\'(30.2-35.8]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(-inf-10.8]\'','existing paid',radio/tv,'\'(-inf-2067.4]\'',<100,>=7,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'',car,'\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(1.9-inf)\'',none,yes,good
<0,'\'(17.6-24.4]\'','critical/other existing credit','used car','\'(5702.2-7519.6]\'',<100,unemployed,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'','no known property','\'(69.4-inf)\'',none,'for free','\'(1.9-2.2]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
'no checking','\'(17.6-24.4]\'','critical/other existing credit',education,'\'(-inf-2067.4]\'',100<=X<500,1<=X<4,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(1.9-2.2]\'','real estate','\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,bad
0<=X<200,'\'(58.4-65.2]\'','existing paid','new car','\'(5702.2-7519.6]\'',100<=X<500,<1,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(1.9-2.2]\'','life insurance','\'(-inf-24.6]\'',none,own,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',none,yes,bad
'no checking','\'(44.8-51.6]\'','critical/other existing credit','used car','\'(11154.4-12971.8]\'',100<=X<500,1<=X<4,'\'(1.9-2.2]\'','female div/dep/mar',none,'\'(3.7-inf)\'',car,'\'(-inf-24.6]\'',bank,rent,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,bad
<0,'\'(17.6-24.4]\'','no credits/all paid',furniture/equipment,'\'(3884.8-5702.2]\'',<100,>=7,'\'(2.8-3.1]\'','male single',none,'\'(3.7-inf)\'','no known property','\'(-inf-24.6]\'',bank,rent,'\'(1.9-2.2]\'',skilled,'\'(1.9-inf)\'',none,yes,bad
<0,'\'(-inf-10.8]\'','critical/other existing credit',furniture/equipment,'\'(2067.4-3884.8]\'',<100,1<=X<4,'\'(-inf-1.3]\'','male div/sep',none,'\'(3.7-inf)\'','real estate','\'(41.4-47]\'',none,rent,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,bad
0<=X<200,'\'(10.8-17.6]\'','existing paid',radio/tv,'\'(2067.4-3884.8]\'',<100,<1,'\'(1.9-2.2]\'','female div/dep/mar',guarantor,'\'(3.7-inf)\'','life insurance','\'(-inf-24.6]\'',none,own,'\'(-inf-1.3]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
<0,'\'(10.8-17.6]\'','existing paid','domestic appliance','\'(-inf-2067.4]\'','no known savings',1<=X<4,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(1.9-2.2]\'',car,'\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,bad
<0,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(3884.8-5702.2]\'',<100,1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'','life insurance','\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(-inf-10.8]\'','existing paid',furniture/equipment,'\'(-inf-2067.4]\'',<100,1<=X<4,'\'(3.7-inf)\'','male div/sep',none,'\'(1.9-2.2]\'',car,'\'(30.2-35.8]\'',none,own,'\'(-inf-1.3]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(17.6-24.4]\'','critical/other existing credit',education,'\'(5702.2-7519.6]\'',<100,<1,'\'(1.9-2.2]\'','female div/dep/mar',none,'\'(3.7-inf)\'','no known property','\'(-inf-24.6]\'',none,'for free','\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
<0,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(3.7-inf)\'',car,'\'(24.6-30.2]\'',none,rent,'\'(-inf-1.3]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(17.6-24.4]\'','existing paid',radio/tv,'\'(2067.4-3884.8]\'',500<=X<1000,<1,'\'(-inf-1.3]\'','male mar/wid',none,'\'(2.8-3.1]\'','real estate','\'(24.6-30.2]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(17.6-24.4]\'','existing paid',business,'\'(3884.8-5702.2]\'',<100,>=7,'\'(-inf-1.3]\'','male single','co applicant','\'(-inf-1.3]\'','real estate','\'(30.2-35.8]\'',bank,own,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
>=200,'\'(-inf-10.8]\'','existing paid','new car','\'(3884.8-5702.2]\'',<100,<1,'\'(-inf-1.3]\'','male single',guarantor,'\'(-inf-1.3]\'','life insurance','\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'','unskilled resident','\'(1.9-inf)\'',none,yes,good
'no checking','\'(10.8-17.6]\'','critical/other existing credit',radio/tv,'\'(-inf-2067.4]\'',<100,1<=X<4,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(1.9-2.2]\'',car,'\'(41.4-47]\'',none,own,'\'(-inf-1.3]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(10.8-17.6]\'','critical/other existing credit',radio/tv,'\'(-inf-2067.4]\'',<100,<1,'\'(3.7-inf)\'','male single',guarantor,'\'(3.7-inf)\'','real estate','\'(-inf-24.6]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(17.6-24.4]\'','existing paid',radio/tv,'\'(2067.4-3884.8]\'',500<=X<1000,unemployed,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(3.7-inf)\'','no known property','\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'','unemp/unskilled non res','\'(-inf-1.1]\'',none,yes,good
'no checking','\'(-inf-10.8]\'','delayed previously',business,'\'(-inf-2067.4]\'',100<=X<500,1<=X<4,'\'(-inf-1.3]\'','male single',none,'\'(1.9-2.2]\'','real estate','\'(30.2-35.8]\'',none,own,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(-inf-10.8]\'','critical/other existing credit',education,'\'(-inf-2067.4]\'',>=1000,>=7,'\'(3.7-inf)\'','male single',none,'\'(2.8-3.1]\'','no known property','\'(30.2-35.8]\'',none,'for free','\'(1.9-2.2]\'',skilled,'\'(1.9-inf)\'',none,yes,bad
'no checking','\'(-inf-10.8]\'','existing paid','domestic appliance','\'(-inf-2067.4]\'',<100,<1,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(3.7-inf)\'','real estate','\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(-inf-10.8]\'','existing paid',furniture/equipment,'\'(-inf-2067.4]\'',<100,1<=X<4,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,no,bad
'no checking','\'(17.6-24.4]\'','critical/other existing credit','used car','\'(2067.4-3884.8]\'','no known savings',unemployed,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'','no known property','\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
<0,'\'(10.8-17.6]\'','no credits/all paid',radio/tv,'\'(5702.2-7519.6]\'',<100,1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'','life insurance','\'(24.6-30.2]\'',none,rent,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',yes,yes,bad
'no checking','\'(-inf-10.8]\'','existing paid',education,'\'(-inf-2067.4]\'',500<=X<1000,>=7,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'','no known property','\'(41.4-47]\'',none,'for free','\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(17.6-24.4]\'','existing paid','new car','\'(-inf-2067.4]\'',<100,<1,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'','real estate','\'(-inf-24.6]\'',stores,own,'\'(-inf-1.3]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,bad
'no checking','\'(10.8-17.6]\'','critical/other existing credit',radio/tv,'\'(2067.4-3884.8]\'','no known savings',>=7,'\'(-inf-1.3]\'','male single','co applicant','\'(3.7-inf)\'','real estate','\'(47-52.6]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
'no checking','\'(31.2-38]\'','delayed previously',radio/tv,'\'(3884.8-5702.2]\'',<100,1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,bad
'no checking','\'(10.8-17.6]\'','existing paid',radio/tv,'\'(-inf-2067.4]\'',<100,1<=X<4,'\'(3.7-inf)\'','male mar/wid',none,'\'(1.9-2.2]\'','real estate','\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
<0,'\'(24.4-31.2]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(3.7-inf)\'','real estate','\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,bad
0<=X<200,'\'(17.6-24.4]\'','existing paid',education,'\'(-inf-2067.4]\'','no known savings',1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'','no known property','\'(58.2-63.8]\'',none,'for free','\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
>=200,'\'(10.8-17.6]\'','existing paid',radio/tv,'\'(2067.4-3884.8]\'','no known savings',>=7,'\'(1.9-2.2]\'','male single',none,'\'(2.8-3.1]\'',car,'\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',none,yes,good
>=200,'\'(10.8-17.6]\'','delayed previously','new car','\'(2067.4-3884.8]\'',<100,1<=X<4,'\'(1.9-2.2]\'','female div/dep/mar',none,'\'(1.9-2.2]\'',car,'\'(35.8-41.4]\'',stores,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
'no checking','\'(-inf-10.8]\'','existing paid',furniture/equipment,'\'(-inf-2067.4]\'',<100,1<=X<4,'\'(-inf-1.3]\'','male mar/wid',none,'\'(1.9-2.2]\'','life insurance','\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
<0,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,unemployed,'\'(3.7-inf)\'','male single',none,'\'(-inf-1.3]\'',car,'\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'','unemp/unskilled non res','\'(-inf-1.1]\'',none,yes,bad
'no checking','\'(10.8-17.6]\'','existing paid',business,'\'(-inf-2067.4]\'',<100,4<=X<7,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'',car,'\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
'no checking','\'(17.6-24.4]\'','critical/other existing credit','used car','\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(2.8-3.1]\'','male single',none,'\'(-inf-1.3]\'',car,'\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
<0,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,<1,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(3.7-inf)\'',car,'\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
<0,'\'(31.2-38]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,>=7,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'',car,'\'(41.4-47]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(1.9-inf)\'',none,yes,bad
0<=X<200,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(1.9-2.2]\'','female div/dep/mar',none,'\'(3.7-inf)\'','real estate','\'(35.8-41.4]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(31.2-38]\'','existing paid','new car','\'(2067.4-3884.8]\'','no known savings',1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'','real estate','\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','critical/other existing credit',radio/tv,'\'(5702.2-7519.6]\'',<100,>=7,'\'(2.8-3.1]\'','male single',none,'\'(3.7-inf)\'',car,'\'(30.2-35.8]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
'no checking','\'(-inf-10.8]\'','critical/other existing credit',furniture/equipment,'\'(2067.4-3884.8]\'',<100,<1,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(2.8-3.1]\'','real estate','\'(-inf-24.6]\'',none,rent,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(58.4-65.2]\'','critical/other existing credit','new car','\'(12971.8-14789.2]\'','no known savings',>=7,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'','no known property','\'(58.2-63.8]\'',bank,'for free','\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(58.4-65.2]\'','all paid',other,'\'(12971.8-14789.2]\'',100<=X<500,>=7,'\'(2.8-3.1]\'','female div/dep/mar',none,'\'(3.7-inf)\'','no known property','\'(58.2-63.8]\'',bank,'for free','\'(1.9-2.2]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,bad
<0,'\'(44.8-51.6]\'','all paid',business,'\'(7519.6-9337]\'',<100,4<=X<7,'\'(1.9-2.2]\'','female div/dep/mar',guarantor,'\'(3.7-inf)\'',car,'\'(35.8-41.4]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,bad
'no checking','\'(17.6-24.4]\'','delayed previously',radio/tv,'\'(2067.4-3884.8]\'',<100,unemployed,'\'(1.9-2.2]\'','male mar/wid',none,'\'(2.8-3.1]\'','real estate','\'(30.2-35.8]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(-inf-10.8]\'','delayed previously',radio/tv,'\'(-inf-2067.4]\'','no known savings',>=7,'\'(2.8-3.1]\'','male single',none,'\'(3.7-inf)\'','no known property','\'(35.8-41.4]\'',none,'for free','\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(31.2-38]\'','existing paid','new car','\'(12971.8-14789.2]\'',<100,>=7,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'','no known property','\'(52.6-58.2]\'',none,'for free','\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,bad
'no checking','\'(-inf-10.8]\'','critical/other existing credit','new car','\'(-inf-2067.4]\'',100<=X<500,1<=X<4,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(3.7-inf)\'',car,'\'(47-52.6]\'',none,own,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
<0,'\'(17.6-24.4]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'','no known savings',4<=X<7,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'',car,'\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(17.6-24.4]\'','existing paid','used car','\'(12971.8-14789.2]\'',<100,unemployed,'\'(2.8-3.1]\'','female div/dep/mar',none,'\'(3.7-inf)\'','no known property','\'(35.8-41.4]\'',none,'for free','\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,bad
'no checking','\'(17.6-24.4]\'','existing paid','new car','\'(-inf-2067.4]\'','no known savings',4<=X<7,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(3.7-inf)\'','life insurance','\'(24.6-30.2]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
>=200,'\'(10.8-17.6]\'','existing paid','new car','\'(-inf-2067.4]\'',<100,<1,'\'(3.7-inf)\'','male single',none,'\'(-inf-1.3]\'','real estate','\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(24.4-31.2]\'','delayed previously',business,'\'(3884.8-5702.2]\'',100<=X<500,1<=X<4,'\'(1.9-2.2]\'','male single',none,'\'(1.9-2.2]\'','life insurance','\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','critical/other existing credit',radio/tv,'\'(2067.4-3884.8]\'',<100,1<=X<4,'\'(1.9-2.2]\'','female div/dep/mar',none,'\'(-inf-1.3]\'',car,'\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','existing paid',radio/tv,'\'(-inf-2067.4]\'','no known savings',<1,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(1.9-2.2]\'','real estate','\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(17.6-24.4]\'','critical/other existing credit',furniture/equipment,'\'(5702.2-7519.6]\'',<100,unemployed,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'','life insurance','\'(35.8-41.4]\'',stores,own,'\'(1.9-2.2]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(10.8-17.6]\'','critical/other existing credit',business,'\'(2067.4-3884.8]\'',500<=X<1000,1<=X<4,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'',car,'\'(24.6-30.2]\'',bank,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(-inf-10.8]\'','existing paid',business,'\'(-inf-2067.4]\'',<100,4<=X<7,'\'(2.8-3.1]\'','female div/dep/mar',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','existing paid','new car','\'(-inf-2067.4]\'',<100,1<=X<4,'\'(1.9-2.2]\'','male mar/wid',none,'\'(1.9-2.2]\'','life insurance','\'(24.6-30.2]\'',none,own,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(10.8-17.6]\'','existing paid',furniture/equipment,'\'(-inf-2067.4]\'',>=1000,<1,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(3.7-inf)\'','real estate','\'(-inf-24.6]\'',none,rent,'\'(-inf-1.3]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
<0,'\'(31.2-38]\'','existing paid','new car','\'(2067.4-3884.8]\'',<100,4<=X<7,'\'(1.9-2.2]\'','male single',none,'\'(3.7-inf)\'','no known property','\'(35.8-41.4]\'',bank,'for free','\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(1.9-inf)\'',yes,yes,good
<0,'\'(-inf-10.8]\'','critical/other existing credit',radio/tv,'\'(-inf-2067.4]\'',<100,4<=X<7,'\'(-inf-1.3]\'','female div/dep/mar',none,'\'(3.7-inf)\'',car,'\'(30.2-35.8]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(-inf-10.8]\'','critical/other existing credit',furniture/equipment,'\'(2067.4-3884.8]\'',<100,unemployed,'\'(1.9-2.2]\'','male single',none,'\'(2.8-3.1]\'',car,'\'(30.2-35.8]\'',none,own,'\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(38-44.8]\'','delayed previously',education,'\'(11154.4-12971.8]\'',100<=X<500,4<=X<7,'\'(1.9-2.2]\'','male single',none,'\'(2.8-3.1]\'','no known property','\'(30.2-35.8]\'',none,rent,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
<0,'\'(10.8-17.6]\'','existing paid',furniture/equipment,'\'(2067.4-3884.8]\'',<100,unemployed,'\'(2.8-3.1]\'','female div/dep/mar',none,'\'(3.7-inf)\'','no known property','\'(52.6-58.2]\'',none,'for free','\'(-inf-1.3]\'','high qualif/self emp/mgmt','\'(-inf-1.1]\'',none,yes,good
<0,'\'(31.2-38]\'','critical/other existing credit',furniture/equipment,'\'(2067.4-3884.8]\'',<100,1<=X<4,'\'(2.8-3.1]\'','male mar/wid',none,'\'(1.9-2.2]\'','life insurance','\'(41.4-47]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(10.8-17.6]\'','existing paid','new car','\'(-inf-2067.4]\'',<100,>=7,'\'(-inf-1.3]\'','male div/sep',none,'\'(-inf-1.3]\'','real estate','\'(41.4-47]\'',none,rent,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,bad
'no checking','\'(17.6-24.4]\'','critical/other existing credit',radio/tv,'\'(-inf-2067.4]\'',>=1000,1<=X<4,'\'(3.7-inf)\'','female div/dep/mar',none,'\'(-inf-1.3]\'','real estate','\'(41.4-47]\'',none,own,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','existing paid',radio/tv,'\'(-inf-2067.4]\'',<100,<1,'\'(2.8-3.1]\'','male mar/wid',none,'\'(3.7-inf)\'','real estate','\'(35.8-41.4]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,good
0<=X<200,'\'(17.6-24.4]\'','critical/other existing credit',business,'\'(-inf-2067.4]\'','no known savings',1<=X<4,'\'(3.7-inf)\'','male mar/wid',none,'\'(3.7-inf)\'','real estate','\'(24.6-30.2]\'',bank,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',none,yes,good
'no checking','\'(17.6-24.4]\'','delayed previously',business,'\'(7519.6-9337]\'',<100,<1,'\'(1.9-2.2]\'','male single',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',bank,own,'\'(1.9-2.2]\'',skilled,'\'(-inf-1.1]\'',yes,yes,bad
'no checking','\'(10.8-17.6]\'','delayed previously','new car','\'(-inf-2067.4]\'',<100,1<=X<4,'\'(3.7-inf)\'','male single',none,'\'(1.9-2.2]\'',car,'\'(24.6-30.2]\'',none,own,'\'(1.9-2.2]\'','unskilled resident','\'(-inf-1.1]\'',none,yes,good
0<=X<200,'\'(17.6-24.4]\'','delayed previously','new car','\'(2067.4-3884.8]\'','no known savings',>=7,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'',car,'\'(41.4-47]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(1.9-inf)\'',none,yes,good
0<=X<200,'\'(17.6-24.4]\'','existing paid',radio/tv,'\'(-inf-2067.4]\'',<100,<1,'\'(-inf-1.3]\'','male mar/wid',none,'\'(-inf-1.3]\'','life insurance','\'(-inf-24.6]\'',none,own,'\'(-inf-1.3]\'',skilled,'\'(-inf-1.1]\'',yes,yes,bad
'no checking','\'(17.6-24.4]\'','critical/other existing credit','used car','\'(2067.4-3884.8]\'','no known savings',4<=X<7,'\'(3.7-inf)\'','male single',none,'\'(3.7-inf)\'',car,'\'(41.4-47]\'',none,own,'\'(1.9-2.2]\'',skilled,'\'(1.9-inf)\'',yes,yes,good
